no,url,judul_dokumen,query_presiden,query_hoaks,query_ekonomi
18,https://www.liputan6.com/bisnis/read/6316509/update-harga-emas-perhiasan-hari-ini-15-april-2026-mulai-5-karat-hingga-24-karat,Update Harga Emas Perhiasan Hari Ini 15 April 2026 Mulai 5 Karat Hingga 24 Karat,0,0,0
19,https://www.liputan6.com/bisnis/read/6315357/cek-kalender-libur-nasional-2026-dan-jadwal-cuti-bersama,Cek Kalender Libur Nasional 2026 dan Jadwal Cuti Bersama,0,0,0
20,https://www.liputan6.com/bisnis/read/6309792/daftar-harga-bbm-pertamina-terbaru-pertamax-termurah-dijual-rp-11750-per-liter,Daftar Harga BBM Pertamina Terbaru Pertamax Termurah Dijual Rp 11750 per Liter,0,0,0
21,https://www.liputan6.com/news/read/6316637/siap-siap-bmkg-sebut-kemarau-2026-datang-lebih-awal-puncaknya-agustus,Siap-Siap BMKG Sebut Kemarau 2026 Datang Lebih Awal Puncaknya Agustus,0,0,0
22,https://www.liputan6.com/otomotif/read/6315499/turun-lagi-penjualan-mobil-maret-2026-terkoreksi-24-persen,Turun Lagi Penjualan Mobil Maret 2026 Terkoreksi 24 Persen,0,0,1
23,https://www.liputan6.com/regional/read/6310416/bangun-ekonomi-lokal-pemkot-semarang-gelar-beragam-event-olahraga,Bangun Ekonomi Lokal Pemkot Semarang Gelar Beragam Event Olahraga,0,0,1
24,https://www.liputan6.com/bisnis/read/6248199/siap-siap-5-aturan-baru-ini-akan-berlaku-mulai-2026,Siap-Siap 5 Aturan Baru Ini akan Berlaku Mulai 2026,0,0,1
25,https://www.liputan6.com/cek-fakta/read/6296360/meta-diminta-lebih-tegas-awasi-video-ai-palsu-saat-konflik-global,Meta Diminta Lebih Tegas Awasi Video AI Palsu saat Konflik Global,0,1,0
26,https://www.liputan6.com/cek-fakta/read/6296327/cek-fakta-tidak-benar-link-pendaftaran-bantuan-budidaya-ikan-air-tawar-dari-pemerintah,Cek Fakta Tidak Benar Link Pendaftaran Bantuan Budidaya Ikan Air Tawar dari Pemerintah,0,1,0
27,https://www.liputan6.com/cek-fakta/read/6295592/ragam-hoaks-catut-nama-kemenag-dari-aturan-pakaian-dinas-hingga-batasi-takbiran,Ragam Hoaks Catut Nama Kemenag dari Aturan Pakaian Dinas hingga Batasi Takbiran,0,1,0
28,https://www.liputan6.com/cek-fakta/read/6295924/ragam-hoaks-bantuan-ternak-dari-pemerintah-simak-faktanya,Ragam Hoaks Bantuan Ternak dari Pemerintah Simak Faktanya,0,1,0
29,https://www.liputan6.com/health/read/6317055/putus-rantai-tuberkulosis-keluarga-pasien-perlu-skrining-tb,Putus Rantai Tuberkulosis Keluarga Pasien Perlu Skrining TB,0,0,0
30,https://www.liputan6.com/health/read/6316952/tak-sekadar-label-aturan-baru-kemenkes-ini-bisa-selamatkan-jutaan-orang-dari-diabetes,Tak Sekadar Label Aturan Baru Kemenkes Ini Bisa Selamatkan Jutaan Orang dari Diabetes,0,0,0
31,https://www.liputan6.com/showbiz/read/6306807/bahagianya-ahy-kini-jadi-ayah-2-anak-kenang-momen-sby-jenguk-cucu-di-sela-tugas-negara,Bahagianya AHY Kini Jadi Ayah 2 Anak Kenang Momen SBY Jenguk Cucu di Sela Tugas Negara,1,0,0
32,https://www.liputan6.com/showbiz/read/6306801/jawaban-ahy-ditanya-soal-masa-depan-arjuna-hanyokrokusumo-yudhoyono-ke-militer-atau-politik,Jawaban AHY Ditanya Soal Masa Depan Arjuna Hanyokrokusumo Yudhoyono ke Militer atau Politik,1,0,0
33,https://www.liputan6.com/showbiz/read/6306767/ahy-ungkap-reaksi-almira-tunggadewi-sambut-kelahiran-adik-sempat-pasrah-jadi-anak-tunggal,AHY Ungkap Reaksi Almira Tunggadewi Sambut Kelahiran Adik Sempat Pasrah Jadi Anak Tunggal,0,0,0
34,https://www.liputan6.com/showbiz/read/6306732/annisa-pohan-melahirkan-anak-kedua-setelah-menanti-17-tahun-ahy-sanjung-perjuangan-istri,Annisa Pohan Melahirkan Anak Kedua setelah Menanti 17 Tahun AHY Sanjung Perjuangan Istri,0,0,0
35,https://www.liputan6.com/saham/read/6316551/telkom-batalkan-rupslb-24-april-2026-jadwal-baru-menyusul,Telkom Batalkan RUPSLB 24 April 2026 Jadwal Baru Menyusul,0,0,0
36,https://www.liputan6.com/saham/read/6316633/catat-ini-7-agenda-penting-rups-wton-di-mei-2026,Catat Ini 7 Agenda Penting RUPS WTON di Mei 2026,0,0,0
37,https://www.liputan6.com/cek-fakta/read/6317423/cek-fakta-tidak-benar-link-pendaftaran-rekrutmen-pegawai-koperasi-desa-merah-putih-2026,Cek Fakta Tidak Benar Link Pendaftaran Rekrutmen Pegawai Koperasi Desa Merah Putih 2026,0,1,0
38,https://www.liputan6.com/cek-fakta/read/6316563/kenali-ragam-hoaks-terkait-pertamina-awas-ada-jebakan-yang-merugikan,Kenali Ragam Hoaks Terkait Pertamina Awas Ada Jebakan yang Merugikan,0,1,0
39,https://www.liputan6.com/cek-fakta/read/6316667/meta-didesak-filipina-untuk-tindak-konten-hoaks-dan-provokatif,Meta Didesak Filipina untuk Tindak Konten Hoaks dan Provokatif,0,1,0
40,https://www.liputan6.com/cek-fakta/read/6316996/hoaks-terkait-transjakarta-simak-daftarnya,Hoaks Terkait TransJakarta Simak Daftarnya,0,1,0
41,https://www.liputan6.com/cek-fakta/read/6316811/kumpulan-artikel-hoaks-yang-sempat-viral-di-masyarakat-simak-daftarnya,Kumpulan Artikel Hoaks yang Sempat Viral di Masyarakat Simak Daftarnya,0,1,0
42,https://www.liputan6.com/cek-fakta/read/6268304/deretan-hoaks-yang-dikaitkan-dengan-kejagung-simak-daftarnya,Deretan Hoaks yang Dikaitkan dengan Kejagung Simak Daftarnya,0,1,0
43,https://www.liputan6.com/hot/read/6254498/hari-lingkungan-hidup-nasional-2026-momentum-krusial-untuk-pelestarian-alam-indonesia,Hari Lingkungan Hidup Nasional 2026 Momentum Krusial untuk Pelestarian Alam Indonesia,0,0,0
